FECHA,STYRENE FOB ARA US$-TON
1-1-2006,1143.41579
2-1-2006,1106.04782
3-1-2006,1015.87968
4-1-2006,1023.92647
5-1-2006,1127.32221
6-1-2006,1269.18822
7-1-2006,1301.26515
8-1-2006,1326.50782
9-1-2006,1311.51654
10-1-2006,1310.6347
11-1-2006,1228.62358
12-1-2006,1209.55379
1-1-2007,1191.03515
2-1-2007,1169.65053
3-1-2007,1202.16838
4-1-2007,1289.91146
5-1-2007,1405.98365
6-1-2007,1376.33178
7-1-2007,1324.9646
8-1-2007,1265.66086
9-1-2007,1267.75523
10-1-2007,1287.92732
11-1-2007,1283.73858
12-1-2007,1277.34524
1-1-2008,1292.33652
2-1-2008,1410.50308
3-1-2008,1462.86233
4-1-2008,1459.66566
5-1-2008,1531.0947
6-1-2008,1613.7672
7-1-2008,1671.74818
8-1-2008,1630.41193
9-1-2008,1757.0662
10-1-2008,1354.06532
11-1-2008,873.24206
12-1-2008,576.06198
1-1-2009,573.196
2-1-2009,686.25
3-1-2009,779.54656
4-1-2009,886.46966
5-1-2009,834.66156
6-1-2009,919.75912
7-1-2009,1062.50697
8-1-2009,1126.88129
9-1-2009,1020.50934
10-1-2009,989.20402
11-1-2009,999.7861
12-1-2009,1154.32856
1-1-2010,1298.06848
2-1-2010,1288.5887
3-1-2010,1312.39838
4-1-2010,1340.3968
5-1-2010,1268.7473
6-1-2010,1067.68778
7-1-2010,975.97642
8-1-2010,1054.9011
9-1-2010,1107.37058
10-1-2010,1208.78218
11-1-2010,1238.21359
12-1-2010,1292.11606
1-1-2011,1383.3865
2-1-2011,1491.19144
3-1-2011,1495.49041
4-1-2011,1499.23823
5-1-2011,1568.5729
6-1-2011,1415.3532
7-1-2011,1425.05344
8-1-2011,1489.42776
9-1-2011,1367.73384
10-1-2011,1235.23738
11-1-2011,1225.7576
12-1-2011,1263.67672
1-1-2012,1399.25962
2-1-2012,1466.27946
3-1-2012,1474.65694
4-1-2012,1451.94956
5-1-2012,1414.69182
6-1-2012,1333.01139
7-1-2012,1421.967
8-1-2012,1479.2866
9-1-2012,1572.54118
10-1-2012,1566.3683
11-1-2012,1568.5729
12-1-2012,1601.42144
1-1-2013,1658.30012
2-1-2013,1716.61179
3-1-2013,1616.41272
4-1-2013,1584.88694
5-1-2013,1589.5166
6-1-2013,1607.59432
7-1-2013,1670.86634
8-1-2013,1680.56658
9-1-2013,1686.95992
10-1-2013,1579.81636
11-1-2013,1544.54276
12-1-2013,1632.94722
1-1-2014,1707.02178
2-1-2014,1664.91392
3-1-2014,1616.41272
4-1-2014,1570.55704
5-1-2014,1545.4246
6-1-2014,1604.50788
7-1-2014,1639.56102
8-1-2014,1576.95038
9-1-2014,1498.0257
10-1-2014,1496.70294
11-1-2014,1336.20806
12-1-2014,1034.39832
1-1-2015,838.18892
2-1-2015,937.39592
3-1-2015,1174.61088
4-1-2015,1222.4507
5-1-2015,1307.76872
6-1-2015,1244.27624
7-1-2015,1201.28654
8-1-2015,1087.74964
9-1-2015,846.5664
10-1-2015,846.34594
11-1-2015,854.50296
12-1-2015,845.02318
1-29-2016,854.3
2-29-2016,911.0952381
3-31-2016,1057.95
4-29-2016,1082.928571
5-31-2016,1103.275
6-30-2016,1024.272727
7-31-2016,997.0238095
8-31-2016,986.9318182
9-30-2016,961
10-31-2016,958.4761905
11-30-2016,1074.022727
12-31-2016,1164
1-31-2017,1307.071429
2-28-2017,1568.125
3-31-2017,1347.152174
4-30-2017,1128.833333
5-31-2017,1079.690476
6-30-2017,1131.613636
7-31-2017,1179.714286
8-31-2017,1269.522727
9-30-2017,1365.047619
10-31-2017,1193.431818
11-30-2017,1260.25
12-31-2017,1283.026316
1-31-2018,1368.568182
2-28-2018,1519.65
3-31-2018,1434.261905
4-30-2018,1412.2
5-31-2018,1352.904762
6-30-2018,1328.404762
7-31-2018,1285.181818
8-31-2018,1389.681818
9-30-2018,1314.975
10-31-2018,1245.065217
11-30-2018,982.9772727
12-31-2018,946
1-31-2019,952.6818182
2-28-2019,1000.6
3-31-2019,1089.642857
4-30-2019,1106.4
5-31-2019,1004.690476
6-30-2019,951.9
7-31-2019,952.5434783
8-31-2019,960.1666667
9-30-2019,974.1904762
10-31-2019,936.4565217
11-29-2019,833.8809524
12-31-2019,823
1-31-2020,878.7045455
2-29-2020,849.525
3-31-2020,595.8068182
4-30-2020,490.2125
5-31-2020,578.4736842
6-30-2020,606.0568182
7-31-2020,684.0978261
8-31-2020,659.0375
9-30-2020,638.9318182
10-30-2020,689.7272727
11-30-2020,898.547619
12-31-2020,931.6071429
1-31-2021,1036.2125
2-28-2021,1336.375
3-31-2021,2097.771739
4-30-2021,1689.175
5-31-2021,1486.486842
6-30-2021,1208.863636
7-30-2021,1256.681818
8-31-2021,1240.202381
9-30-2021,1298.011364
10-31-2021,1440.190476
11-30-2021,1498.829545
12-31-2021,1506.107143
1-31-2022,1429.05
2-28-2022,1518.7125
3-31-2022,1772.51087