Week ending,Source,East Region,Midwest Region,Mountain Region,Pacific Region,South Central Region,Salt,NonSalt,Total Lower 48,,,,,,,,
01-Jan-10,Derived EIA Weekly Estimates,769.00,900.00,195.00,268.00,985.00,159.00,826.00,3117.00,,,,,,,,
08-Jan-10,Derived EIA Weekly Estimates,703.00,820.00,185.00,257.00,886.00,123.00,763.00,2850.00,,,,,,,,
15-Jan-10,Derived EIA Weekly Estimates,642.00,750.00,176.00,246.00,793.00,91.00,702.00,2607.00,,,,,,,,
22-Jan-10,Derived EIA Weekly Estimates,616.00,710.00,171.00,235.00,789.00,102.00,687.00,2521.00,,,,,,,,
29-Jan-10,Derived EIA Weekly Estimates,582.00,661.00,164.00,221.00,779.00,108.00,671.00,2406.00,,,,,,,,
05-Feb-10,Derived EIA Weekly Estimates,523.00,604.00,157.00,211.00,719.00,95.00,624.00,2214.00,,,,,,,,
12-Feb-10,Derived EIA Weekly Estimates,471.00,552.00,148.00,197.00,658.00,85.00,573.00,2026.00,,,,,,,,
19-Feb-10,Derived EIA Weekly Estimates,425.00,502.00,141.00,193.00,592.00,71.00,521.00,1853.00,,,,,,,,
26-Feb-10,Derived EIA Weekly Estimates,390.00,464.00,133.00,184.00,566.00,70.00,496.00,1738.00,,,,,,,,
05-Mar-10,Derived EIA Weekly Estimates,349.00,433.00,129.00,182.00,535.00,63.00,472.00,1627.00,,,,,,,,
12-Mar-10,Derived EIA Weekly Estimates,341.00,422.00,127.00,176.00,548.00,71.00,477.00,1614.00,,,,,,,,
19-Mar-10,Derived EIA Weekly Estimates,334.00,419.00,126.00,179.00,567.00,80.00,487.00,1626.00,,,,,,,,
26-Mar-10,Derived EIA Weekly Estimates,336.00,410.00,126.00,185.00,581.00,89.00,492.00,1638.00,,,,,,,,
02-Apr-10,Derived EIA Weekly Estimates,333.00,410.00,126.00,189.00,612.00,101.00,511.00,1670.00,,,,,,,,
09-Apr-10,Derived EIA Weekly Estimates,358.00,429.00,126.00,193.00,649.00,112.00,537.00,1754.00,,,,,,,,
16-Apr-10,Derived EIA Weekly Estimates,376.00,444.00,129.00,199.00,679.00,120.00,559.00,1828.00,,,,,,,,
23-Apr-10,Derived EIA Weekly Estimates,397.00,462.00,134.00,209.00,710.00,126.00,584.00,1912.00,,,,,,,,
30-Apr-10,Derived EIA Weekly Estimates,416.00,480.00,138.00,220.00,741.00,133.00,608.00,1994.00,,,,,,,,
07-May-10,Derived EIA Weekly Estimates,444.00,506.00,142.00,230.00,770.00,138.00,632.00,2091.00,,,,,,,,
14-May-10,Derived EIA Weekly Estimates,463.00,520.00,147.00,241.00,794.00,144.00,650.00,2165.00,,,,,,,,
21-May-10,Derived EIA Weekly Estimates,491.00,546.00,154.00,253.00,824.00,149.00,675.00,2268.00,,,,,,,,
28-May-10,Derived EIA Weekly Estimates,518.00,567.00,161.00,265.00,846.00,151.00,695.00,2357.00,,,,,,,,
04-Jun-10,Derived EIA Weekly Estimates,545.00,593.00,165.00,279.00,874.00,158.00,716.00,2456.00,,,,,,,,
11-Jun-10,Derived EIA Weekly Estimates,571.00,619.00,168.00,288.00,895.00,160.00,735.00,2542.00,,,,,,,,
18-Jun-10,Derived EIA Weekly Estimates,596.00,645.00,173.00,299.00,912.00,161.00,751.00,2625.00,,,,,,,,
25-Jun-10,Derived EIA Weekly Estimates,615.00,666.00,178.00,305.00,920.00,158.00,762.00,2684.00,,,,,,,,
02-Jul-10,Derived EIA Weekly Estimates,638.00,691.00,182.00,311.00,938.00,160.00,778.00,2761.00,,,,,,,,
09-Jul-10,Derived EIA Weekly Estimates,659.00,715.00,188.00,318.00,962.00,168.00,794.00,2841.00,,,,,,,,
16-Jul-10,Derived EIA Weekly Estimates,681.00,735.00,192.00,317.00,968.00,163.00,805.00,2893.00,,,,,,,,
23-Jul-10,Derived EIA Weekly Estimates,698.00,751.00,195.00,314.00,962.00,157.00,805.00,2919.00,,,,,,,,
30-Jul-10,Derived EIA Weekly Estimates,716.00,766.00,197.00,313.00,955.00,148.00,807.00,2947.00,,,,,,,,
06-Aug-10,Derived EIA Weekly Estimates,737.00,788.00,199.00,314.00,946.00,144.00,802.00,2984.00,,,,,,,,
13-Aug-10,Derived EIA Weekly Estimates,758.00,808.00,202.00,314.00,930.00,136.00,794.00,3013.00,,,,,,,,
20-Aug-10,Derived EIA Weekly Estimates,781.00,833.00,205.00,309.00,925.00,131.00,794.00,3054.00,,,,,,,,
27-Aug-10,Derived EIA Weekly Estimates,805.00,861.00,209.00,301.00,930.00,133.00,797.00,3105.00,,,,,,,,
03-Sep-10,Derived EIA Weekly Estimates,814.00,886.00,212.00,303.00,948.00,136.00,812.00,3163.00,,,,,,,,
10-Sep-10,Derived EIA Weekly Estimates,835.00,919.00,221.00,307.00,984.00,150.00,834.00,3267.00,,,,,,,,
17-Sep-10,Derived EIA Weekly Estimates,856.00,951.00,223.00,307.00,1005.00,150.00,855.00,3341.00,,,,,,,,
24-Sep-10,Derived EIA Weekly Estimates,876.00,979.00,227.00,309.00,1024.00,153.00,871.00,3415.00,,,,,,,,
01-Oct-10,Derived EIA Weekly Estimates,896.00,1011.00,230.00,307.00,1055.00,162.00,893.00,3499.00,,,,,,,,
08-Oct-10,Derived EIA Weekly Estimates,912.00,1039.00,232.00,313.00,1095.00,168.00,927.00,3590.00,,,,,,,,
15-Oct-10,Derived EIA Weekly Estimates,930.00,1071.00,233.00,317.00,1132.00,182.00,950.00,3683.00,,,,,,,,
22-Oct-10,Derived EIA Weekly Estimates,940.00,1096.00,236.00,321.00,1162.00,189.00,973.00,3754.00,,,,,,,,
29-Oct-10,Derived EIA Weekly Estimates,955.00,1120.00,235.00,323.00,1188.00,193.00,995.00,3821.00,,,,,,,,
05-Nov-10,Derived EIA Weekly Estimates,950.00,1124.00,236.00,327.00,1203.00,199.00,1004.00,3840.00,,,,,,,,
12-Nov-10,Derived EIA Weekly Estimates,940.00,1126.00,236.00,326.00,1206.00,207.00,999.00,3834.00,,,,,,,,
19-Nov-10,Derived EIA Weekly Estimates,940.00,1115.00,234.00,329.00,1210.00,211.00,999.00,3828.00,,,,,,,,
26-Nov-10,Derived EIA Weekly Estimates,940.00,1100.00,227.00,313.00,1224.00,218.00,1006.00,3805.00,,,,,,,,
03-Dec-10,Derived EIA Weekly Estimates,918.00,1071.00,222.00,298.00,1208.00,215.00,993.00,3717.00,,,,,,,,
10-Dec-10,Derived EIA Weekly Estimates,862.00,1017.00,216.00,293.00,1165.00,205.00,960.00,3553.00,,,,,,,,
17-Dec-10,Derived EIA Weekly Estimates,807.00,956.00,209.00,289.00,1108.00,186.00,922.00,3369.00,,,,,,,,
24-Dec-10,Derived EIA Weekly Estimates,756.00,904.00,201.00,284.00,1087.00,182.00,905.00,3232.00,,,,,,,,
31-Dec-10,Derived EIA Weekly Estimates,715.00,866.00,192.00,275.00,1050.00,175.00,875.00,3097.00,,,,,,,,
07-Jan-11,Derived EIA Weekly Estimates,684.00,817.00,181.00,248.00,1030.00,183.00,847.00,2960.00,,,,,,,,
14-Jan-11,Derived EIA Weekly Estimates,622.00,753.00,172.00,229.00,939.00,158.00,781.00,2716.00,,,,,,,,
21-Jan-11,Derived EIA Weekly Estimates,577.00,696.00,164.00,221.00,885.00,153.00,732.00,2543.00,,,,,,,,
28-Jan-11,Derived EIA Weekly Estimates,519.00,639.00,156.00,211.00,830.00,142.00,688.00,2355.00,,,,,,,,
04-Feb-11,Derived EIA Weekly Estimates,470.00,578.00,145.00,187.00,763.00,123.00,640.00,2144.00,,,,,,,,
11-Feb-11,Derived EIA Weekly Estimates,421.00,510.00,137.00,171.00,672.00,90.00,582.00,1910.00,,,,,,,,
18-Feb-11,Derived EIA Weekly Estimates,392.00,482.00,132.00,162.00,662.00,90.00,572.00,1831.00,,,,,,,,
25-Feb-11,Derived EIA Weekly Estimates,359.00,445.00,124.00,147.00,671.00,100.00,571.00,1745.00,,,,,,,,
04-Mar-11,Derived EIA Weekly Estimates,330.00,412.00,118.00,136.00,676.00,106.00,570.00,1672.00,,,,,,,,
11-Mar-11,Derived EIA Weekly Estimates,308.00,384.00,113.00,137.00,674.00,111.00,563.00,1616.00,,,,,,,,
18-Mar-11,Derived EIA Weekly Estimates,296.00,373.00,112.00,141.00,688.00,121.00,567.00,1611.00,,,,,,,,
25-Mar-11,Derived EIA Weekly Estimates,293.00,369.00,110.00,137.00,713.00,131.00,582.00,1622.00,,,,,,,,
01-Apr-11,Derived EIA Weekly Estimates,265.00,346.00,110.00,142.00,716.00,138.00,578.00,1578.00,,,,,,,,
08-Apr-11,Derived EIA Weekly Estimates,269.00,349.00,107.00,145.00,736.00,143.00,593.00,1606.00,,,,,,,,
15-Apr-11,Derived EIA Weekly Estimates,284.00,362.00,106.00,148.00,753.00,143.00,610.00,1654.00,,,,,,,,
22-Apr-11,Derived EIA Weekly Estimates,298.00,362.00,105.00,153.00,766.00,144.00,622.00,1685.00,,,,,,,,
29-Apr-11,Derived EIA Weekly Estimates,321.00,380.00,105.00,161.00,789.00,149.00,640.00,1757.00,,,,,,,,
06-May-11,Derived EIA Weekly Estimates,344.00,398.00,106.00,168.00,812.00,155.00,657.00,1827.00,,,,,,,,
13-May-11,Derived EIA Weekly Estimates,375.00,423.00,108.00,177.00,837.00,161.00,676.00,1919.00,,,,,,,,
20-May-11,Derived EIA Weekly Estimates,405.00,447.00,111.00,186.00,874.00,175.00,699.00,2023.00,,,,,,,,
27-May-11,Derived EIA Weekly Estimates,434.00,469.00,115.00,197.00,892.00,177.00,715.00,2107.00,,,,,,,,
03-Jun-11,Derived EIA Weekly Estimates,458.00,494.00,120.00,206.00,910.00,179.00,731.00,2188.00,,,,,,,,
10-Jun-11,Derived EIA Weekly Estimates,483.00,517.00,125.00,217.00,916.00,180.00,736.00,2257.00,,,,,,,,
17-Jun-11,Derived EIA Weekly Estimates,515.00,548.00,131.00,229.00,931.00,184.00,747.00,2354.00,,,,,,,,
24-Jun-11,Derived EIA Weekly Estimates,542.00,576.00,136.00,237.00,941.00,182.00,759.00,2432.00,,,,,,,,
01-Jul-11,Derived EIA Weekly Estimates,574.00,605.00,142.00,248.00,957.00,184.00,773.00,2526.00,,,,,,,,
08-Jul-11,Derived EIA Weekly Estimates,602.00,635.00,148.00,254.00,972.00,185.00,787.00,2611.00,,,,,,,,
15-Jul-11,Derived EIA Weekly Estimates,627.00,660.00,154.00,264.00,966.00,176.00,790.00,2671.00,,,,,,,,
22-Jul-11,Derived EIA Weekly Estimates,646.00,681.00,158.00,271.00,958.00,167.00,791.00,2714.00,,,,,,,,
29-Jul-11,Derived EIA Weekly Estimates,666.00,703.00,152.00,285.00,954.00,160.00,794.00,2759.00,,,,,,,,
05-Aug-11,Derived EIA Weekly Estimates,683.00,724.00,155.00,288.00,933.00,151.00,782.00,2783.00,,,,,,,,
12-Aug-11,Derived EIA Weekly Estimates,702.00,752.00,160.00,294.00,925.00,142.00,783.00,2833.00,,,,,,,,
19-Aug-11,Derived EIA Weekly Estimates,729.00,784.00,164.00,298.00,932.00,143.00,789.00,2906.00,,,,,,,,
26-Aug-11,Derived EIA Weekly Estimates,751.00,815.00,168.00,298.00,929.00,139.00,790.00,2960.00,,,,,,,,
02-Sep-11,Derived EIA Weekly Estimates,776.00,848.00,171.00,298.00,932.00,139.00,793.00,3025.00,,,,,,,,
09-Sep-11,Derived EIA Weekly Estimates,801.00,882.00,176.00,299.00,951.00,144.00,807.00,3110.00,,,,,,,,
16-Sep-11,Derived EIA Weekly Estimates,825.00,916.00,180.00,305.00,975.00,153.00,822.00,3201.00,,,,,,,,
23-Sep-11,Derived EIA Weekly Estimates,855.00,953.00,185.00,312.00,1007.00,166.00,841.00,3311.00,,,,,,,,
30-Sep-11,Derived EIA Weekly Estimates,879.00,990.00,189.00,319.00,1031.00,170.00,861.00,3408.00,,,,,,,,
07-Oct-11,Derived EIA Weekly Estimates,900.00,1023.00,194.00,330.00,1074.00,188.00,886.00,3521.00,,,,,,,,
14-Oct-11,Derived EIA Weekly Estimates,922.00,1059.00,196.00,337.00,1111.00,206.00,905.00,3624.00,,,,,,,,
21-Oct-11,Derived EIA Weekly Estimates,939.00,1086.00,198.00,342.00,1151.00,226.00,925.00,3717.00,,,,,,,,
28-Oct-11,Derived EIA Weekly Estimates,947.00,1109.00,200.00,348.00,1189.00,244.00,945.00,3793.00,,,,,,,,
04-Nov-11,Derived EIA Weekly Estimates,950.00,1122.00,201.00,353.00,1204.00,253.00,951.00,3830.00,,,,,,,,
11-Nov-11,Derived EIA Weekly Estimates,955.00,1123.00,201.00,353.00,1212.00,263.00,949.00,3844.00,,,,,,,,
18-Nov-11,Derived EIA Weekly Estimates,957.00,1122.00,203.00,356.00,1216.00,268.00,948.00,3853.00,,,,,,,,
25-Nov-11,Derived EIA Weekly Estimates,953.00,1108.00,204.00,357.00,1229.00,276.00,953.00,3850.00,,,,,,,,
02-Dec-11,Derived EIA Weekly Estimates,951.00,1093.00,203.00,359.00,1224.00,281.00,943.00,3830.00,,,,,,,,
09-Dec-11,Derived EIA Weekly Estimates,935.00,1061.00,195.00,342.00,1197.00,276.00,921.00,3729.00,,,,,,,,
16-Dec-11,Derived EIA Weekly Estimates,905.00,1028.00,191.00,324.00,1182.00,274.00,908.00,3628.00,,,,,,,,
23-Dec-11,Derived EIA Weekly Estimates,881.00,998.00,186.00,309.00,1173.00,275.00,898.00,3548.00,,,,,,,,
30-Dec-11,Derived EIA Weekly Estimates,853.00,964.00,183.00,308.00,1163.00,279.00,884.00,3471.00,,,,,,,,
06-Jan-12,Derived EIA Weekly Estimates,819.00,923.00,180.00,308.00,1147.00,274.00,873.00,3377.00,,,,,,,,
13-Jan-12,Derived EIA Weekly Estimates,791.00,890.00,174.00,301.00,1134.00,276.00,858.00,3290.00,,,,,,,,
20-Jan-12,Derived EIA Weekly Estimates,728.00,831.00,165.00,283.00,1090.00,260.00,830.00,3098.00,,,,,,,,
27-Jan-12,Derived EIA Weekly Estimates,682.00,778.00,160.00,278.00,1068.00,254.00,814.00,2966.00,,,,,,,,
03-Feb-12,Derived EIA Weekly Estimates,656.00,745.00,157.00,275.00,1056.00,250.00,806.00,2888.00,,,,,,,,
10-Feb-12,Derived EIA Weekly Estimates,616.00,702.00,152.00,272.00,1018.00,240.00,778.00,2761.00,,,,,,,,
17-Feb-12,Derived EIA Weekly Estimates,570.00,651.00,146.00,267.00,961.00,217.00,744.00,2595.00,,,,,,,,
24-Feb-12,Derived EIA Weekly Estimates,545.00,619.00,141.00,266.00,942.00,214.00,728.00,2513.00,,,,,,,,
02-Mar-12,Derived EIA Weekly Estimates,515.00,589.00,137.00,258.00,934.00,216.00,718.00,2433.00,,,,,,,,
09-Mar-12,Derived EIA Weekly Estimates,491.00,558.00,133.00,255.00,933.00,223.00,710.00,2369.00,,,,,,,,
16-Mar-12,Derived EIA Weekly Estimates,489.00,550.00,134.00,255.00,952.00,232.00,720.00,2380.00,,,,,,,,
23-Mar-12,Derived EIA Weekly Estimates,506.00,557.00,134.00,253.00,980.00,247.00,733.00,2429.00,,,,,,,,
30-Mar-12,Derived EIA Weekly Estimates,510.00,563.00,137.00,256.00,1006.00,260.00,746.00,2472.00,,,,,,,,
06-Apr-12,Derived EIA Weekly Estimates,515.00,564.00,137.00,261.00,1001.00,258.00,743.00,2478.00,,,,,,,,
13-Apr-12,Derived EIA Weekly Estimates,524.00,569.00,139.00,265.00,1006.00,259.00,747.00,2503.00,,,,,,,,
20-Apr-12,Derived EIA Weekly Estimates,546.00,587.00,139.00,270.00,1006.00,254.00,752.00,2546.00,,,,,,,,
27-Apr-12,Derived EIA Weekly Estimates,557.00,597.00,142.00,276.00,1005.00,249.00,756.00,2576.00,,,,,,,,
04-May-12,Derived EIA Weekly Estimates,571.00,607.00,144.00,283.00,1001.00,241.00,760.00,2606.00,,,,,,,,
11-May-12,Derived EIA Weekly Estimates,597.00,628.00,146.00,289.00,1008.00,238.00,770.00,2667.00,,,,,,,,
18-May-12,Derived EIA Weekly Estimates,621.00,648.00,148.00,300.00,1027.00,257.00,770.00,2744.00,,,,,,,,
25-May-12,Derived EIA Weekly Estimates,644.00,669.00,151.00,309.00,1042.00,261.00,781.00,2815.00,,,,,,,,
01-Jun-12,Derived EIA Weekly Estimates,663.00,689.00,155.00,318.00,1053.00,260.00,793.00,2877.00,,,,,,,,
08-Jun-12,Derived EIA Weekly Estimates,685.00,709.00,159.00,327.00,1063.00,261.00,802.00,2944.00,,,,,,,,
15-Jun-12,Derived EIA Weekly Estimates,704.00,727.00,162.00,335.00,1077.00,265.00,812.00,3006.00,,,,,,,,
22-Jun-12,Derived EIA Weekly Estimates,719.00,746.00,165.00,342.00,1091.00,267.00,824.00,3063.00,,,,,,,,
29-Jun-12,Derived EIA Weekly Estimates,738.00,764.00,169.00,353.00,1080.00,258.00,822.00,3102.00,,,,,,,,
06-Jul-12,Derived EIA Weekly Estimates,747.00,775.00,174.00,360.00,1079.00,251.00,828.00,3135.00,,,,,,,,
13-Jul-12,Derived EIA Weekly Estimates,756.00,789.00,178.00,360.00,1080.00,247.00,833.00,3163.00,,,,,,,,
20-Jul-12,Derived EIA Weekly Estimates,764.00,801.00,182.00,364.00,1079.00,242.00,837.00,3190.00,,,,,,,,
27-Jul-12,Derived EIA Weekly Estimates,775.00,820.00,185.00,364.00,1073.00,234.00,839.00,3217.00,,,,,,,,
03-Aug-12,Derived EIA Weekly Estimates,786.00,839.00,187.00,361.00,1067.00,226.00,841.00,3240.00,,,,,,,,
10-Aug-12,Derived EIA Weekly Estimates,796.00,858.00,189.00,354.00,1063.00,220.00,843.00,3261.00,,,,,,,,
17-Aug-12,Derived EIA Weekly Estimates,815.00,887.00,193.00,345.00,1068.00,218.00,850.00,3308.00,,,,,,,,
24-Aug-12,Derived EIA Weekly Estimates,836.00,913.00,196.00,345.00,1084.00,227.00,857.00,3374.00,,,,,,,,
31-Aug-12,Derived EIA Weekly Estimates,847.00,936.00,200.00,342.00,1077.00,221.00,856.00,3402.00,,,,,,,,
07-Sep-12,Derived EIA Weekly Estimates,857.00,964.00,204.00,341.00,1062.00,207.00,855.00,3429.00,,,,,,,,
14-Sep-12,Derived EIA Weekly Estimates,874.00,991.00,209.00,341.00,1082.00,217.00,865.00,3496.00,,,,,,,,
21-Sep-12,Derived EIA Weekly Estimates,892.00,1018.00,213.00,342.00,1111.00,232.00,879.00,3576.00,,,,,,,,
28-Sep-12,Derived EIA Weekly Estimates,908.00,1044.00,217.00,347.00,1137.00,245.00,892.00,3654.00,,,,,,,,
05-Oct-12,Derived EIA Weekly Estimates,926.00,1067.00,220.00,348.00,1164.00,260.00,904.00,3726.00,,,,,,,,
12-Oct-12,Derived EIA Weekly Estimates,936.00,1081.00,221.00,355.00,1182.00,271.00,911.00,3776.00,,,,,,,,
19-Oct-12,Derived EIA Weekly Estimates,945.00,1100.00,225.00,362.00,1210.00,286.00,924.00,3843.00,,,,,,,,
26-Oct-12,Derived EIA Weekly Estimates,960.00,1119.00,227.00,368.00,1233.00,300.00,933.00,3907.00,,,,,,,,
02-Nov-12,Derived EIA Weekly Estimates,960.00,1124.00,230.00,375.00,1240.00,307.00,933.00,3928.00,,,,,,,,
09-Nov-12,Derived EIA Weekly Estimates,942.00,1118.00,231.00,377.00,1242.00,310.00,932.00,3910.00,,,,,,,,
16-Nov-12,Derived EIA Weekly Estimates,935.00,1107.00,227.00,374.00,1230.00,311.00,919.00,3873.00,,,,,,,,
23-Nov-12,Derived EIA Weekly Estimates,927.00,1103.00,228.00,378.00,1241.00,317.00,924.00,3876.00,,,,,,,,
30-Nov-12,Derived EIA Weekly Estimates,902.00,1072.00,228.00,375.00,1228.00,316.00,912.00,3804.00,,,,,,,,
07-Dec-12,Derived EIA Weekly Estimates,900.00,1062.00,228.00,376.00,1240.00,320.00,920.00,3806.00,,,,,,,,
14-Dec-12,Derived EIA Weekly Estimates,884.00,1029.00,222.00,372.00,1216.00,312.00,904.00,3724.00,,,,,,,,
21-Dec-12,Derived EIA Weekly Estimates,868.00,1004.00,216.00,360.00,1206.00,310.00,896.00,3653.00,,,,,,,,
28-Dec-12,Derived EIA Weekly Estimates,829.00,959.00,207.00,352.00,1170.00,302.00,868.00,3517.00,,,,,,,,
04-Jan-13,Derived EIA Weekly Estimates,776.00,901.00,197.00,333.00,1111.00,283.00,828.00,3316.00,,,,,,,,
11-Jan-13,Derived EIA Weekly Estimates,736.00,855.00,190.00,316.00,1072.00,275.00,797.00,3167.00,,,,,,,,
18-Jan-13,Derived EIA Weekly Estimates,708.00,804.00,178.00,286.00,1020.00,260.00,760.00,2996.00,,,,,,,,
25-Jan-13,Derived EIA Weekly Estimates,651.00,732.00,172.00,274.00,973.00,244.00,729.00,2802.00,,,,,,,,
01-Feb-13,Derived EIA Weekly Estimates,608.00,688.00,165.00,269.00,954.00,240.00,714.00,2684.00,,,,,,,,
08-Feb-13,Derived EIA Weekly Estimates,549.00,631.00,159.00,266.00,921.00,234.00,687.00,2526.00,,,,,,,,
15-Feb-13,Derived EIA Weekly Estimates,512.00,590.00,153.00,259.00,887.00,225.00,662.00,2400.00,,,,,,,,
22-Feb-13,Derived EIA Weekly Estimates,458.00,534.00,146.00,252.00,838.00,208.00,630.00,2229.00,,,,,,,,
01-Mar-13,Derived EIA Weekly Estimates,424.00,493.00,139.00,247.00,780.00,190.00,590.00,2082.00,,,,,,,,
08-Mar-13,Derived EIA Weekly Estimates,377.00,448.00,136.00,245.00,732.00,175.00,557.00,1938.00,,,,,,,,
15-Mar-13,Derived EIA Weekly Estimates,357.00,422.00,132.00,248.00,717.00,180.00,537.00,1876.00,,,,,,,,
22-Mar-13,Derived EIA Weekly Estimates,324.00,382.00,127.00,248.00,700.00,178.00,522.00,1781.00,,,,,,,,
29-Mar-13,Derived EIA Weekly Estimates,302.00,356.00,122.00,248.00,659.00,166.00,493.00,1687.00,,,,,,,,
05-Apr-13,Derived EIA Weekly Estimates,295.00,347.00,123.00,256.00,654.00,168.00,486.00,1674.00,,,,,,,,
12-Apr-13,Derived EIA Weekly Estimates,310.00,351.00,120.00,258.00,666.00,179.00,487.00,1705.00,,,,,,,,
19-Apr-13,Derived EIA Weekly Estimates,329.00,354.00,117.00,258.00,676.00,187.00,489.00,1734.00,,,,,,,,
26-Apr-13,Derived EIA Weekly Estimates,344.00,356.00,118.00,262.00,697.00,198.00,499.00,1776.00,,,,,,,,
03-May-13,Derived EIA Weekly Estimates,376.00,376.00,118.00,268.00,728.00,212.00,516.00,1866.00,,,,,,,,
10-May-13,Derived EIA Weekly Estimates,408.00,399.00,120.00,278.00,760.00,228.00,532.00,1964.00,,,,,,,,
17-May-13,Derived EIA Weekly Estimates,433.00,419.00,122.00,285.00,792.00,239.00,553.00,2052.00,,,,,,,,
24-May-13,Derived EIA Weekly Estimates,461.00,445.00,127.00,294.00,815.00,243.00,572.00,2142.00,,,,,,,,
31-May-13,Derived EIA Weekly Estimates,491.00,473.00,132.00,304.00,852.00,254.00,598.00,2252.00,,,,,,,,
07-Jun-13,Derived EIA Weekly Estimates,520.00,500.00,137.00,313.00,877.00,259.00,618.00,2347.00,,,,,,,,
14-Jun-13,Derived EIA Weekly Estimates,551.00,529.00,140.00,321.00,898.00,261.00,637.00,2439.00,,,,,,,,
21-Jun-13,Derived EIA Weekly Estimates,578.00,560.00,144.00,330.00,922.00,263.00,659.00,2533.00,,,,,,,,
28-Jun-13,Derived EIA Weekly Estimates,599.00,586.00,148.00,336.00,936.00,265.00,671.00,2606.00,,,,,,,,
05-Jul-13,Derived EIA Weekly Estimates,622.00,616.00,152.00,334.00,963.00,274.00,689.00,2687.00,,,,,,,,
12-Jul-13,Derived EIA Weekly Estimates,634.00,641.00,154.00,337.00,979.00,275.00,704.00,2745.00,,,,,,,,
19-Jul-13,Derived EIA Weekly Estimates,642.00,658.00,157.00,337.00,990.00,274.00,716.00,2786.00,,,,,,,,
26-Jul-13,Derived EIA Weekly Estimates,661.00,684.00,160.00,340.00,1001.00,267.00,734.00,2845.00,,,,,,,,
02-Aug-13,Derived EIA Weekly Estimates,687.00,715.00,164.00,359.00,1015.00,265.00,750.00,2940.00,,,,,,,,
09-Aug-13,Derived EIA Weekly Estimates,708.00,745.00,168.00,366.00,1020.00,261.00,759.00,3007.00,,,,,,,,
16-Aug-13,Derived EIA Weekly Estimates,725.00,774.00,172.00,368.00,1024.00,258.00,766.00,3063.00,,,,,,,,
23-Aug-13,Derived EIA Weekly Estimates,743.00,805.00,177.00,365.00,1041.00,260.00,781.00,3131.00,,,,,,,,
30-Aug-13,Derived EIA Weekly Estimates,760.00,831.00,181.00,364.00,1052.00,261.00,791.00,3189.00,,,,,,,,
