indice_tiempo,no_residentes,residentes,total,buenos_aires_no_residentes,buenos_aires_residentes,buenos_aires_total,cordoba_no_residentes,cordoba_residentes,cordoba_total,cuyo_no_residentes,cuyo_residentes,cuyo_total,litoral_no_residentes,litoral_residentes,litoral_total,norte_no_residentes,norte_residentes,norte_total,patagonia_no_residentes,patagonia_residentes,patagonia_total
2008-01-01,198407,352303,550710,0,885,885,145,717,862,179,4965,5144,55335,111408,166743,774,4241,5016,141973,230087,372060
2008-02-01,151809,283145,434953,0,624,624,148,475,623,139,4803,4942,53596,85853,139449,1294,5099,6393,96632,186291,282923
2008-03-01,148533,173134,321667,0,0,0,147,741,888,178,5722,5900,55130,59150,114280,1696,9204,10900,91382,98317,189699
2008-04-01,68558,61539,130097,0,462,462,166,539,705,78,1730,1808,30827,23821,54648,728,3867,4595,36759,31121,67879
2008-05-01,43751,48787,92538,0,1091,1091,129,608,737,103,2299,2402,29818,28538,58356,663,5083,5746,13038,11169,24206
2008-06-01,30907,40502,71409,0,1126,1126,80,112,192,31,1388,1419,20065,24447,44513,409,3579,3988,10322,9850,20172
2008-07-01,60520,134956,195476,0,1304,1304,272,741,1013,131,6207,6338,36230,84740,120970,2475,19626,22101,21411,22338,43750
2008-08-01,63082,122110,185192,0,2912,2912,224,915,1139,109,5844,5953,37508,81184,118692,1066,10326,11392,24175,20928,45104
2008-09-01,64259,109376,173635,0,1394,1394,134,886,1020,76,3205,3281,30195,62209,92404,1362,8319,9681,32492,33363,65855
2008-10-01,94065,148815,242880,0,2004,2004,168,1387,1555,150,3578,3728,42782,75282,118064,1319,7747,9066,49646,58817,108463
2008-11-01,133914,115953,249867,0,1969,1969,240,1266,1506,206,1660,1866,50950,54605,105555,1407,4502,5909,81111,51951,133062
2008-12-01,121848,125093,246941,0,496,496,184,561,745,146,1295,1441,43988,37959,81947,2244,5918,8162,75286,78864,154150
2009-01-01,122439,398025,520463,0,1107,1107,127,2025,2152,192,6669,6861,48493,113012,161505,2361,11976,14337,71266,263235,334501
2009-02-01,113619,279218,392837,0,1074,1074,128,1413,1541,175,5313,5488,45576,84450,130026,1216,5035,6251,66524,181933,248457
2009-03-01,91824,136672,228496,0,1393,1393,170,1309,1479,176,2498,2674,41804,42747,84551,1780,4895,6675,47894,83830,131724
2009-04-01,64864,135248,200112,0,1225,1225,255,1820,2075,148,4693,4841,35776,59085,94861,1201,6807,8008,27484,61618,89102
2009-05-01,31467,80374,111840,0,2174,2174,235,2299,2534,87,3058,3145,21453,40377,61830,977,5053,6030,8715,27412,36127
2009-06-01,24737,60586,85323,0,871,871,100,592,692,55,1728,1783,18326,33307,51633,409,3496,3904,5847,20592,26439
2009-07-01,39257,142354,181611,0,2067,2067,122,1385,1507,88,7988,8076,26420,79486,105906,2442,18450,20892,10185,32977,43163
2009-08-01,40970,84314,125284,0,2077,2077,125,886,1011,78,3111,3189,27383,53899,81282,1974,8000,9974,11410,16341,27751
2009-09-01,44477,119199,163676,0,1602,1602,243,1913,2156,49,2802,2851,26090,64369,90459,978,6356,7334,17117,42157,59274
2009-10-01,77256,153989,231245,0,1751,1751,195,2563,2758,118,3115,3233,37995,81518,119513,1152,7586,8738,37797,57456,95252
2009-11-01,119309,121505,240814,0,581,581,207,1258,1465,191,1880,2071,46716,54563,101279,1313,3479,4792,70883,59744,130626
2009-12-01,118908,119031,237939,0,848,848,218,1105,1323,164,1581,1745,45649,39850,85499,944,2050,2994,71933,73597,145530
2010-01-01,147736,446127,593863,0,582,582,66,1975,2041,187,6672,6859,55218,113616,168834,1911,10856,12767,90354,312426,402780
2010-02-01,136069,288292,424360,0,706,706,199,1798,1997,144,5313,5457,51064,75843,126907,3472,9210,12682,81190,195422,276611
2010-03-01,99504,157309,256813,0,1141,1141,259,1130,1389,172,2274,2446,43249,41499,84748,1250,3933,5183,54574,107332,161906
2010-04-01,59521,154471,213992,0,530,530,193,1115,1308,133,4478,4611,32812,61930,94742,1927,9877,11804,24456,76541,100997
2010-05-01,35595,109498,145093,0,1570,1570,165,1614,1779,71,3762,3833,22014,59428,81442,1100,8479,9579,12245,34645,46890
2010-06-01,30423,66870,97293,0,542,542,105,431,536,33,1382,1415,21218,41760,62978,663,4854,5517,8404,17901,26305
2010-07-01,47398,200217,247616,0,837,837,188,1510,1698,76,7454,7530,32713,125000,157713,3074,27731,30805,11347,37685,49033
2010-08-01,48446,116071,164518,0,1934,1934,141,713,854,76,2653,2729,32125,77621,109746,969,7286,8255,15136,25864,41000
2010-09-01,55963,135493,191456,0,1879,1879,151,916,1067,71,2504,2575,32783,82479,115261,1084,7153,8237,21874,40562,62437
2010-10-01,79844,192960,272804,0,2891,2891,214,1896,2110,102,3750,3852,40895,103422,144317,775,7987,8762,37858,73014,110872
2010-11-01,116621,161733,278354,0,1438,1438,210,730,940,170,2247,2417,50332,70135,120467,1468,4698,6166,64442,82485,146927
2010-12-01,118075,129126,247201,0,384,384,207,477,684,141,950,1091,45743,43758,89501,897,2394,3291,71087,81163,152250
2011-01-01,152863,485743,638606,0,536,536,229,2624,2853,260,6634,6894,55621,141973,197594,2512,8512,11024,94241,325464,419705
2011-02-01,153067,282651,435718,0,891,891,208,2137,2345,200,4985,5185,48181,96570,144751,1293,5396,6689,103185,172672,275857
2011-03-01,121398,198265,319663,0,1939,1939,270,2018,2288,158,4179,4337,52676,81989,134665,1611,6741,8352,66683,101399,168082
2011-04-01,74086,135602,209688,0,511,511,284,1576,1860,170,4309,4479,41430,63263,104693,2526,12294,14820,29676,53649,83325
2011-05-01,39347,80166,119513,0,1514,1514,138,1028,1166,94,1924,2018,26967,43111,70078,2261,8381,10642,9887,24208,34095
2011-06-01,26387,59021,85408,0,733,733,95,709,804,50,1622,1672,23250,42743,65993,730,5672,6402,2262,7543,9804
2011-07-01,41973,187527,229501,0,1515,1515,277,1470,1747,125,7802,7927,33058,128622,161680,1992,23913,25905,6522,24205,30727
2011-08-01,42894,100543,143437,0,1079,1079,304,760,1064,68,2331,2399,30562,63216,93778,2981,13481,16462,8979,19677,28655
2011-09-01,51776,139649,191425,0,1254,1254,176,1099,1275,73,2619,2692,31528,83536,115064,2387,16044,18431,17612,35097,52709
2011-10-01,80704,174367,255071,0,1762,1762,227,1675,1902,112,3468,3580,40399,93591,133990,1808,10381,12189,38158,63490,101648
2011-11-01,125783,144010,269793,0,1437,1437,213,859,1072,192,2234,2426,50878,75815,126693,3414,9424,12838,71086,54241,125327
2011-12-01,116655,160570,277225,0,750,750,230,682,912,154,1369,1523,48921,59952,108873,3614,10867,14481,63736,86950,150686
2012-01-01,153712,472200,625912,0,899,899,295,1833,2128,207,5907,6114,58679,166974,225653,3003,15487,18490,91528,281100,372628
2012-02-01,129239,306643,435882,0,1021,1021,188,1490,1678,256,4795,5051,54850,119431,174281,2536,11567,14103,71409,168339,239748
2012-03-01,99718,148394,248112,0,918,918,281,1262,1543,195,2252,2447,47298,56361,103659,2384,9233,11617,49560,78368,127928
2012-04-01,68873,210370,279243,0,2458,2458,242,2403,2645,154,5548,5702,41925,105369,147294,4201,19245,23446,22351,75347,97699
2012-05-01,36298,89008,125306,0,1195,1195,134,991,1125,88,2490,2578,26997,55399,82396,894,6570,7464,8185,22363,30549
2012-06-01,32770,75522,108291,0,1000,1000,145,686,831,30,1381,1411,23846,46344,70190,975,7335,8309,7774,18776,26550
2012-07-01,47717,250409,298126,0,1815,1815,188,1526,1714,73,8973,9046,33696,164166,197862,1480,31007,32487,12279,42923,55202
2012-08-01,46998,117257,164255,0,771,771,219,1141,1360,83,2802,2885,32939,73297,106236,943,8624,9566,12814,30623,43437
2012-09-01,51429,172009,223438,0,2262,2262,199,1466,1665,65,3504,3569,33015,102094,135109,466,10141,10607,17684,52541,70226
2012-10-01,73194,188074,261268,0,1018,1018,151,1309,1460,107,3129,3236,42006,105940,147946,735,9252,9987,30194,67427,97622
2012-11-01,115422,168422,283843,0,1484,1484,213,1326,1539,240,2270,2510,51707,77324,129031,1058,5722,6780,62204,80296,142500
2012-12-01,109077,127649,236726,0,294,294,152,670,822,164,1229,1393,47214,52101,99315,561,2866,3427,60986,70489,131475
2013-01-01,140270,603868,744137,0,661,661,197,2234,2431,217,5339,5556,59221,156896,216117,919,8511,9430,79716,430226,509942
2013-02-01,126550,370700,497250,0,751,751,151,1511,1662,187,4506,4693,52311,110286,162597,1587,9630,11217,72314,244016,316330
2013-03-01,101734,261101,362834,0,675,675,243,2416,2659,196,4995,5191,48034,103031,151065,4312,8892,13204,48949,141091,190040
2013-04-01,57975,143655,201630,0,1454,1454,170,1824,1994,127,3649,3776,34039,63905,97944,632,6869,7501,23007,65954,88961
2013-05-01,41278,77896,119174,0,1069,1069,167,1484,1651,56,1934,1990,29712,44100,73812,409,5900,6309,10935,23409,34343
2013-06-01,32863,103177,136040,0,1370,1370,133,1106,1239,73,3345,3418,22009,64769,86778,275,8004,8279,10373,24583,34956
2013-07-01,55526,192877,248403,0,1309,1309,188,2255,2443,104,8711,8815,36368,103269,139637,581,22828,23409,18284,54505,72790
2013-08-01,50385,109640,160026,0,295,295,177,1206,1383,83,2448,2531,33019,59692,92711,792,9236,10028,16315,36763,53078
2013-09-01,55223,150852,206075,0,1210,1210,108,1843,1951,57,2633,2690,33067,77648,110715,653,9591,10244,21338,57927,79265
2013-10-01,76027,186365,262392,0,1830,1830,178,1397,1575,139,3854,3993,43941,91600,135541,1532,8701,10233,30238,78983,109220
2013-11-01,118351,164744,283095,0,294,294,220,1050,1270,191,2329,2520,53742,74330,128072,1321,7739,9060,62877,79002,141879
2013-12-01,123812,142943,266755,0,216,216,209,558,767,172,1000,1172,53682,51583,105265,893,3251,4144,68857,86334,155191
2014-01-01,217584,648643,866227,12,865,877,152,2010,2162,310,5397,5707,126220,252104,378324,1101,7007,8108,89789,381260,471049
2014-02-01,138343,357020,495363,7,259,266,110,1656,1766,137,3481,3618,51731,100805,152536,1010,4785,5795,85348,246034,331382
2014-03-01,110474,247171,357645,19,2130,2149,254,3283,3537,226,4902,5128,55991,79364,135355,1351,6380,7731,52632,151113,203745
2014-04-01,78462,169091,247553,9,1273,1282,194,2159,2353,156,3861,4017,46066,67916,113982,1730,10124,11854,30307,83758,114065
2014-05-01,48533,120325,168858,8,1066,1074,176,2475,2651,92,3806,3898,33030,57087,90117,1111,10570,11681,14116,45321,59437
2014-06-01,66327,105905,172231,4,691,695,116,1092,1208,43,1925,1968,55567,64698,120265,416,7644,8060,10181,29854,40035
2014-07-01,54257,178958,233215,2,1100,1102,204,2290,2494,96,7943,8039,36040,82895,118935,1181,23258,24439,16733,61473,78206
2014-08-01,51437,130113,181550,13,3154,3167,226,2456,2682,115,3731,3846,32173,61094,93267,1265,11309,12574,17645,48369,66014
2014-09-01,74631,184857,259488,16,2321,2337,206,2742,2948,115,3375,3490,48157,98224,146381,1026,10781,11807,25111,67414,92525
2014-10-01,84112,211676,295787,14,2643,2657,170,3049,3219,160,4046,4206,45238,87240,132478,903,8923,9826,37627,105774,143401
2014-11-01,126125,184015,310140,37,3482,3519,205,1855,2060,266,2536,2802,52028,74533,126561,1602,6680,8282,71986,94929,166916
2014-12-01,132326,171611,303937,10,814,824,238,1223,1461,194,4024,4218,53030,57189,110219,1145,4352,5497,77709,104009,181718
2015-01-01,163291,536250,699541,10,720,730,225,2802,3027,236,5973,6209,69840,127263,197103,1011,9088,10099,91969,390404,482373
2015-02-01,142171,378190,520361,37,1371,1408,230,2200,2430,159,4837,4996,59101,112500,171601,974,6554,7528,81670,250728,332398
2015-03-01,104946,221454,326400,17,1861,1878,176,1710,1886,266,3489,3755,50071,78587,128658,1274,7704,8978,53142,128103,181245
2015-04-01,69591,170013,239605,9,1306,1315,253,1965,2218,141,3443,3584,43921,75571,119492,794,6664,7458,24473,81064,105538
2015-05-01,45011,112010,157021,9,1174,1183,185,1999,2184,124,2836,2960,32892,64746,97638,520,7330,7850,11281,33925,45206
2015-06-01,37735,81520,119255,5,895,900,135,939,1074,51,1589,1640,29286,47760,77046,341,6491,6832,7917,23846,31762
2015-07-01,57259,260262,317522,4,1855,1859,264,1748,2012,109,9207,9316,44866,162069,206935,629,22340,22969,11387,63043,74431
2015-08-01,53258,143485,196744,3,735,738,190,1031,1221,83,3459,3542,40907,79349,120256,662,9216,9878,11413,49695,61109
2015-09-01,58459,191124,249583,13,1873,1886,48,434,482,122,2846,2968,40258,105973,146231,584,10448,11032,17434,69550,86984
2015-10-01,80692,226689,307381,7,1358,1365,155,1341,1496,144,3197,3341,46246,107832,154078,540,9544,10084,33600,103417,137017
2015-11-01,119843,180642,300485,13,1212,1225,229,1288,1517,258,2088,2346,53015,81568,134583,974,6047,7021,65354,88439,153793
2015-12-01,121179,167339,288519,10,825,835,191,1052,1243,248,2392,2640,52242,60821,113063,713,3473,4185,67776,98776,166552
2016-01-01,144572,480017,624590,9,713,722,167,2143,2310,215,5953,6168,64183,106340,170523,692,9176,9867,79306,355693,434999
2016-02-01,136532,315636,452168,0,539,539,116,939,1055,188,3726,3914,57459,74113,131572,846,4696,5542,77924,231623,309547
2016-03-01,108567,215765,324333,5,724,729,84,1465,1549,283,3903,4186,50011,54540,104551,1384,8014,9398,56800,147119,203920
2016-04-01,59626,108931,168556,8,210,218,153,911,1064,124,1899,2023,36033,32805,68838,725,4703,5428,22583,68403,90985
2016-05-01,41315,82860,124175,4,650,654,158,1442,1600,86,1648,1734,28671,35983,64654,844,9801,10645,11552,33336,44888
2016-06-01,35227,91504,126732,4,1023,1027,141,833,974,44,2041,2085,24091,45106,69197,623,10478,11101,10325,32023,42348
2016-07-01,54162,260166,314327,2,1047,1049,219,2307,2526,136,10391,10527,40535,147288,187823,692,25308,26000,12578,73824,86402
2016-08-01,51469,140327,191796,0,1422,1422,235,1595,1830,131,2784,2915,37518,71680,109198,661,13130,13791,12924,49716,62640
2016-09-01,56229,192906,249135,8,1655,1663,205,1247,1452,96,2565,2661,38057,90923,128980,525,13659,14184,17338,82857,100195
2016-10-01,86348,235019,321367,11,1341,1352,241,2459,2700,134,3717,3851,45088,107488,152576,885,16368,17253,39989,103646,143635
2016-11-01,130842,174580,305422,2,783,785,172,1758,1930,176,2035,2211,50978,76100,127078,1123,9943,11066,78391,83961,162352
2016-12-01,131606,192492,324098,8,390,398,229,790,1019,187,1433,1620,51009,66053,117062,716,6754,7470,79457,117072,196529
2017-01-01,163936,536751,700687,19,507,526,223,2213,2436,199,4985,5184,62135,151355,213490,844,10684,11528,100516,367007,467523
2017-02-01,132613,400742,533355,5,392,397,197,2174,2371,156,3754,3910,50038,127218,177256,721,10396,11117,81496,256808,338304
2017-03-01,99591,212950,312541,47,910,957,244,2389,2633,211,2661,2872,41365,68517,109882,1031,10650,11681,56693,127823,184516
2017-04-01,77803,181061,258864,14,1096,1110,263,2492,2755,174,3931,4105,44767,81897,126664,951,13275,14226,31634,78370,110004
2017-05-01,38927,102332,141259,1,632,633,131,1636,1767,108,1914,2022,27022,53641,80663,687,10800,11487,10978,33709,44687
2017-06-01,36187,86836,123023,1,643,644,139,980,1119,40,1393,1433,26348,44949,71297,797,11965,12762,8862,26906,35768
2017-07-01,61108,260996,322104,10,865,875,230,2551,2781,113,8013,8126,43438,160562,204000,914,27161,28075,16403,61844,78247
2017-08-01,52957,154585,207542,5,807,812,291,1762,2053,69,2581,2650,37139,81123,118262,817,14951,15768,14636,53361,67997
2017-09-01,62077,197905,259982,1,956,957,205,1427,1632,103,2550,2653,40796,101292,142088,715,14982,15697,20257,76698,96955
2017-10-01,85514,225110,310624,9,1164,1173,223,2077,2300,150,2543,2693,46235,114161,160396,1055,15460,16515,37842,89705,127547
2017-11-01,131189,189933,321122,4,1260,1264,227,1499,1726,217,2663,2880,54311,94813,149124,910,10789,11699,75520,78909,154429
2017-12-01,136133,194387,330520,2,225,227,201,637,838,160,1324,1484,51983,62420,114403,705,6164,6869,83082,123617,206699
2018-01-01,167987,514310,682297,4,239,243,239,2663,2902,259,4959,5218,63482,157509,220991,822,11560,12382,103181,337380,440561
2018-02-01,142845,373521,516366,1,897,898,181,2199,2380,64,2418,2482,55080,133209,188289,571,4423,4994,86948,230375,317323
2018-03-01,121394,253720,375114,8,1034,1042,284,3231,3515,116,3105,3221,52628,94581,147209,904,13622,14526,67454,138147,205601
2018-04-01,68628,186623,255251,0,641,641,220,1488,1708,154,3411,3565,38392,81373,119765,825,12601,13426,29037,87109,116146
2018-05-01,46612,116078,162690,0,819,819,161,1721,1882,147,2204,2351,32601,57685,90286,558,10678,11236,13145,42971,56116
2018-06-01,34394,97394,131788,4,539,543,65,565,630,47,1364,1411,26613,51993,78606,617,11303,11920,7048,31630,38678
2018-07-01,63406,280069,343475,0,790,790,244,2592,2836,127,7987,8114,45937,167492,213429,821,27093,27914,16277,74115,90392
2018-08-01,58311,176101,234412,6,1609,1615,176,1682,1858,79,2756,2835,39256,92905,132161,790,15220,16010,18004,61929,79933
2018-09-01,70745,198316,269061,2,1388,1390,220,1823,2043,195,2847,3042,44472,104666,149138,1265,15372,16637,24591,72220,96811
2018-10-01,102086,239909,341995,47,3120,3167,140,2220,2360,193,3008,3201,51478,112286,163764,1455,16317,17772,48773,102958,151731
2018-11-01,160901,191850,352751,0,0,0,193,1370,1563,227,2114,2341,66582,85552,152134,1793,13605,15398,92106,89209,181315
2018-12-01,169074,193070,362144,0,0,0,135,851,986,194,1549,1743,64615,62567,127182,1075,8976,10051,103055,119127,222182
2019-01-01,208253,406763,615016,0,0,0,122,2384,2506,278,6263,6541,79892,121048,200940,775,9382,10157,127186,267686,394872
2019-02-01,170987,305087,476074,0,0,0,142,1995,2137,206,4028,4234,57625,91628,149253,2538,10334,12872,110476,197102,307578
2019-03-01,152927,255746,408673,0,0,0,191,1567,1758,183,3386,3569,66916,86885,153801,2067,11771,13838,83570,152137,235707
2019-04-01,104369,205724,310093,0,0,0,226,2866,3092,185,3983,4168,56806,89126,145932,1027,14713,15740,46125,95036,141161
2019-05-01,53137,123390,176527,0,0,0,124,1609,1733,196,1793,1989,36541,65980,102521,711,10223,10934,15565,43785,59350
2019-06-01,47408,136894,184302,0,0,0,107,1465,1572,156,2205,2361,33804,75673,109477,706,13215,13921,12635,44336,56971
2019-07-01,79156,296854,376010,0,0,0,218,3410,3628,246,10385,10631,55229,172987,228216,1960,34809,36769,21503,75263,96766
2019-08-01,71322,186665,257987,0,0,0,113,1159,1272,112,3048,3160,47298,100231,147529,992,18260,19252,22807,63967,86774
2019-09-01,80679,213871,294550,3,1094,1097,236,2379,2615,150,2806,2956,48440,108242,156682,1075,18793,19868,30775,80557,111332
2019-10-01,118561,240434,358995,10,1932,1942,240,2047,2287,187,2572,2759,58521,100324,158845,1395,19430,20825,58208,114129,172337
2019-11-01,180036,224485,404521,13,2265,2278,199,1456,1655,266,2427,2693,71594,90880,162474,1435,12770,14205,106529,114687,221216
2019-12-01,193262,242894,436156,10,1188,1198,195,1032,1227,237,1553,1790,73031,70975,144006,1119,9412,10531,118670,158734,277404
2020-01-01,226961,552057,779018,10,1636,1646,237,3205,3442,282,5210,5492,84747,142678,227425,1140,12471,13611,140545,386857,527402
2020-02-01,200511,416417,616928,21,2721,2742,127,3138,3265,288,5414,5702,72003,133445,205448,3014,12668,15682,125058,259031,384089
2020-03-01,72320,105414,177733,1,283,284,79,716,795,87,1479,1566,29693,32810,62502,984,5142,6126,41476,64984,106459
2020-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-01,0,3410,3410,0,0,0,0,0,0,0,0,0,0,959,959,0,169,169,0,2282,2282
2020-08-01,0,5680,5680,0,0,0,0,0,0,0,0,0,0,2502,2502,0,434,434,0,2744,2744
2020-09-01,0,10460,10460,0,0,0,0,0,0,0,0,0,0,2483,2483,0,0,0,0,7977,7977
2020-10-01,0,17166,17166,0,0,0,0,0,0,0,0,0,0,1705,1705,0,0,0,0,15461,15461
2020-11-01,0,26511,26511,0,0,0,0,0,0,0,190,190,0,2252,2252,0,86,86,0,23983,23983
2020-12-01,320,38852,39172,0,353,353,0,455,455,6,960,966,10,7007,7017,0,412,412,304,29665,29969
2021-01-01,405,203092,203497,4,1022,1026,9,589,598,3,1104,1107,161,34570,34731,17,4351,4368,211,161456,161667
2021-02-01,287,225721,226008,0,1258,1258,11,1157,1168,15,3024,3039,17,54180,54197,55,5484,5539,189,160618,160807
2021-03-01,373,165368,165741,0,888,888,5,1136,1141,5,1658,1663,135,33171,33306,28,5830,5858,200,122685,122885
2021-04-01,428,103063,103491,2,747,749,13,1378,1391,0,1630,1630,129,30266,30395,156,9119,9275,128,59923,60051
2021-05-01,147,31360,31507,1,733,734,12,852,864,2,705,707,79,10153,10232,25,2970,2995,28,15947,15975
2021-06-01,101,19846,19947,0,641,641,0,0,0,0,319,319,54,6420,6474,22,2040,2062,25,10426,10451
2021-07-01,321,142683,143004,1,1812,1813,14,1358,1372,0,3162,3162,124,65284,65408,96,16008,16104,86,55059,55145
2021-08-01,380,137039,137419,4,1405,1409,3,1195,1198,4,1087,1091,142,60500,60642,136,14254,14390,91,58598,58689
2021-09-01,229,163297,163526,2,1077,1079,9,1377,1386,1,1215,1216,142,71173,71315,5,9669,9674,70,78786,78856
2021-10-01,1830,269601,271431,0,2008,2008,17,2076,2093,4,2298,2302,1466,111278,112744,11,24718,24729,332,127223,127555
2021-11-01,12337,256047,268384,0,1179,1179,8,683,691,0,17,17,6290,99745,106035,93,16965,17058,5946,137458,143404
2021-12-01,25319,280527,305846,3,894,897,7,305,312,33,2083,2116,9746,81749,91495,138,11179,11317,15392,184317,199709
